,,,,,,Type,,Date,,Num,,Memo,,Name,,Account,,Qty,,Sales Price,,Amount,,Balance
,,,,,,Invoice,,01/11/2013,,6776,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,576.00
,,,,,,Invoice,,03/29/2013,,7211,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,612.00
,,,,,,Invoice,,08/14/2013,,8191,,Non-Acid Bowl Cleaner 1 qt (12/cs)--nb,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,612.00
,,,,,,Invoice,,04/10/2015,,12090,,Non-Acid Bowl Cleaner 1 qt (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,612.00
,,,Total BE-79-12 (Non-Acid Bowl Cleaner 1qt 12/cs),,,,,,,,,,,,,,,19.00,,,,612.00,,612.00
,,,RX77 (IMP-Toilet & Bathroom Non-Acid Bowl Cleaner (12/cs)),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,11/03/2017,,18041,,IMP-Toilet & Bathroom Non-Acid Bowl Cleaner (12/cs),,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,Total RX77 (IMP-Toilet & Bathroom Non-Acid Bowl Cleaner (12/cs)),,,,,,,,,,,,,,,1.00,,,,0.00,,0.00
,,Total Bowl Cleaner,,,,,,,,,,,,,,,,26.00,,,,720.00,,720.00
,,Chemical Charge (Chemical Charge),,,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,01/10/2012,,4181,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,125.00,,125.00,,125.00
,,,,,,Invoice,,06/27/2012,,5267,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,325.00
,,,,,,Invoice,,08/08/2012,,5650,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,120.00,,120.00,,445.00
,,,,,,Invoice,,09/19/2012,,5964,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,175.00,,175.00,,620.00
,,,,,,Invoice,,10/15/2012,,6183,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,90.00,,90.00,,710.00
,,,,,,Invoice,,01/09/2013,,6765,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,960.00
,,,,,,Invoice,,06/17/2014,,10071,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,175.00,,175.00,,"1,135.00"
,,,,,,Invoice,,08/05/2014,,10470,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,50.00,,50.00,,"1,185.00"
,,,,,,Invoice,,08/05/2014,,10471,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,50.00,,50.00,,"1,235.00"
,,,,,,Invoice,,08/14/2014,,10505,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,350.00,,350.00,,"1,585.00"
,,,,,,Invoice,,10/17/2014,,10952,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,100.00,,100.00,,"1,685.00"
,,,,,,Invoice,,10/23/2014,,10963,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"1,835.00"
,,,,,,Invoice,,11/24/2014,,11255,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,50.00,,50.00,,"1,885.00"
,,,,,,Invoice,,12/16/2014,,11380,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,"2,085.00"
,,,,,,Invoice,,01/20/2015,,11573,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,175.00,,175.00,,"2,260.00"
,,,,,,Invoice,,02/17/2015,,11747,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"2,410.00"
,,,,,,Invoice,,02/19/2015,,11756,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"2,560.00"
,,,,,,Invoice,,04/15/2015,,12107,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"2,710.00"
,,,,,,Invoice,,05/29/2015,,12488,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"2,960.00"
,,,,,,Invoice,,06/30/2015,,12682,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"3,210.00"
,,,,,,Invoice,,08/03/2015,,12898,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"3,360.00"
,,,,,,Invoice,,08/17/2015,,12978,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"3,510.00"
,,,,,,Invoice,,09/15/2015,,13184,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,0.00,,0.00,,"3,510.00"
,,,,,,Invoice,,09/15/2015,,13185,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,"3,710.00"
,,,,,,Invoice,,10/19/2015,,13418,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"3,960.00"
,,,,,,Invoice,,10/26/2015,,13533,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,100.00,,100.00,,"4,060.00"
,,,,,,Invoice,,11/09/2015,,13586,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,75.00,,75.00,,"4,135.00"
,,,,,,Invoice,,01/20/2016,,13984,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"4,385.00"
,,,,,,Invoice,,03/11/2016,,14338,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,"4,585.00"
,,,,,,Invoice,,03/15/2016,,14348,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,100.00,,100.00,,"4,685.00"
,,,,,,Invoice,,04/22/2016,,14578,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"4,985.00"
,,,,,,Invoice,,04/22/2016,,14579,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"5,135.00"
,,,,,,Invoice,,05/10/2016,,14723,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"5,435.00"
,,,,,,Invoice,,05/24/2016,,14793,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,350.00,,350.00,,"5,785.00"
,,,,,,Invoice,,05/24/2016,,14794,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,125.00,,125.00,,"5,910.00"
,,,,,,Invoice,,07/20/2016,,15236,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,100.00,,100.00,,"6,010.00"
,,,,,,Invoice,,09/14/2016,,15668,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"6,310.00"
,,,,,,Invoice,,09/26/2016,,15732,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"6,560.00"
,,,,,,Invoice,,10/24/2016,,15901,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"6,860.00"
,,,,,,Invoice,,12/06/2016,,16247,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"7,010.00"
,,,,,,Invoice,,01/13/2017,,16549,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"7,260.00"
,,,,,,Invoice,,01/17/2017,,16561,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"7,560.00"
,,,,,,Invoice,,01/30/2017,,16612,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,50.00,,50.00,,"7,610.00"
,,,,,,Invoice,,03/27/2017,,16928,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,275.00,,275.00,,"7,885.00"
,,,,,,Invoice,,04/11/2017,,16973,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,125.00,,125.00,,"8,010.00"
,,,,,,Invoice,,05/08/2017,,17127,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,275.00,,275.00,,"8,285.00"
,,,,,,Invoice,,05/08/2017,,17129,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"8,535.00"
,,,,,,Invoice,,08/24/2017,,17635,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,"8,735.00"
,,,,,,Invoice,,09/13/2017,,17755,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,300.00,,300.00,,"9,035.00"
,,,,,,Invoice,,10/11/2017,,17911,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"9,185.00"
,,,,,,Invoice,,10/25/2017,,17997,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"9,335.00"
,,,,,,Invoice,,11/14/2017,,18068,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,200.00,,200.00,,"9,535.00"
,,,,,,Invoice,,01/29/2018,,18454,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,175.00,,175.00,,"9,710.00"
,,,,,,Invoice,,04/09/2018,,18766,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"9,960.00"
,,,,,,Invoice,,04/17/2018,,18782,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,325.00,,325.00,,"10,285.00"
,,,,,,Invoice,,05/28/2018,,19043,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,325.00,,325.00,,"10,610.00"
,,,,,,Invoice,,06/25/2018,,19170,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,150.00,,150.00,,"10,760.00"
,,,,,,Invoice,,08/15/2018,,19408,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"11,010.00"
,,,,,,Invoice,,10/25/2018,,19816,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"11,260.00"
,,,,,,Invoice,,11/26/2018,,20085,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"11,510.00"
,,,,,,Invoice,,12/17/2018,,20150,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"11,760.00"
,,,,,,Invoice,,12/26/2018,,20258,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,375.00,,375.00,,"12,135.00"
,,,,,,Invoice,,02/04/2019,,20491,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,395.00,,395.00,,"12,530.00"
,,,,,,Invoice,,03/04/2019,,20669,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,395.00,,395.00,,"12,925.00"
,,,,,,Invoice,,04/08/2019,,20877,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"13,175.00"
,,,,,,Invoice,,08/31/2019,,21794,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"13,425.00"
,,,,,,Invoice,,09/09/2019,,21822,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,0.00,,0.00,,"13,425.00"
,,,,,,Invoice,,09/09/2019,,21822,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,375.00,,375.00,,"13,800.00"
,,,,,,Invoice,,09/16/2019,,21838,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,275.00,,275.00,,"14,075.00"
,,,,,,Invoice,,10/21/2019,,22050,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"14,325.00"
,,,,,,Invoice,,01/13/2020,,22611,,Chemical Charge,,GOLD'S Gym E Northport,,SFM Sales Income,,1.00,,250.00,,250.00,,"14,575.00"
,,Total Chemical Charge (Chemical Charge),,,,,,,,,,,,,,,,71.00,,,,"14,575.00",,"14,575.00"
,,CLEANERS,,,,,,,,,,,,,,,,,,,,,,
,,,"W-ZPEZUMILDEW32 (Zep Commercial® Mold Stain and Mildew Stain Remover, 32 oz Spray...",,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,01/24/2020,,22654,,"Zep Commercial® Mold Stain and Mildew Stain Remover, 32 oz Spray Bottle x12",,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,37.40,,37.40,,37.40
,,,,,,Invoice,,03/18/2020,,23022,,"Zep Commercial® Mold Stain and Mildew Stain Remover, 32 oz Spray Bottle x12",,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,37.40,,37.40,,74.80
,,,,,,Invoice,,03/18/2020,,23037,,"Zep Commercial® Mold Stain and Mildew Stain Remover, 32 oz Spray Bottle x12",,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,37.40,,37.40,,112.20
,,,"Total W-ZPEZUMILDEW32 (Zep Commercial® Mold Stain and Mildew Stain Remover, 32 oz Spray...",,,,,,,,,,,,,,,3.00,,,,112.20,,112.20
,,Total CLEANERS,,,,,,,,,,,,,,,,3.00,,,,112.20,,112.20
,,Cleansers,,,,,,,,,,,,,,,,,,,,,,
,,,16L (ABAL - 3M Twist/Fill Sanitizer Low Flow 6pk),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,07/31/2013,,8032,,ABAL - 3M Twist/Fill Sanitizer Low flow 6pk,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,,,,Invoice,,07/31/2013,,8033,,ABAL - 3M Twist/Fill Sanitizer Low Flow  ** 1 BOTTLE **,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,,,,Invoice,,03/26/2014,,9509,,ABAL - 3M Twist/Fill Sanitizer Low Flow 6pk*****1 CONTAINER***STOCK-  NB,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,Total 16L (ABAL - 3M Twist/Fill Sanitizer Low Flow 6pk),,,,,,,,,,,,,,,3.00,,,,0.00,,0.00
,,,5H (ABAL - 3M Twist/Fill 5H Disinfect. Hi-Flow 6pk),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,04/10/2015,,12090,,ABAL - 3M Twist/Fill 5H Disinfect. Hi-Flow 6pk***DEL. 4/9,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,Total 5H (ABAL - 3M Twist/Fill 5H Disinfect. Hi-Flow 6pk),,,,,,,,,,,,,,,1.00,,,,0.00,,0.00
,,,8H (ABAL - 3M Twist/Fill 8H Gen. Purpose Clnr Hi-Flow 6pk),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,09/25/2015,,13238,,ABAL - 3M Twist/Fill 8H Gen. Purpose Clnr Hi-Flow 6pk,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,0.00,,0.00,,0.00
,,,Total 8H (ABAL - 3M Twist/Fill 8H Gen. Purpose Clnr Hi-Flow 6pk),,,,,,,,,,,,,,,1.00,,,,0.00,,0.00
,,,BE-321-12 (D21291-Betco Better Then Bleach Mildew Remover 12/Qts),,,,,,,,,,,,,,,,,,,,,
,,,,,,Invoice,,05/03/2013,,7551,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,36.40
,,,,,,Invoice,,05/22/2013,,7620,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,0.00,,0.00,,36.40
,,,,,,Invoice,,06/07/2013,,7772,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,72.80
,,,,,,Invoice,,06/19/2013,,7812,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,109.20
,,,,,,Invoice,,06/26/2013,,7825,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,145.60
,,,,,,Invoice,,07/31/2013,,8032,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.40,,72.80,,218.40
,,,,,,Invoice,,07/31/2013,,8033,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.40,,72.80,,291.20
,,,,,,Invoice,,08/29/2013,,8238,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,327.60
,,,,,,Invoice,,09/06/2013,,8360,,Better Then Bleach Mildew Remover 12/Qts*,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,364.00
,,,,,,Invoice,,10/21/2013,,8583,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,400.40
,,,,,,Invoice,,12/05/2013,,8890,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,436.80
,,,,,,Invoice,,12/31/2013,,9032,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,473.20
,,,,,,Invoice,,01/29/2014,,9162,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,509.60
,,,,,,Invoice,,02/19/2014,,9246,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,546.00
,,,,,,Invoice,,03/18/2014,,9415,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,582.40
,,,,,,Invoice,,04/15/2014,,9632,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,618.80
,,,,,,Invoice,,05/01/2014,,9773,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,655.20
,,,,,,Invoice,,06/03/2014,,9998,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.00,,36.00,,691.20
,,,,,,Invoice,,06/20/2014,,10089,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,727.60
,,,,,,Invoice,,07/07/2014,,10247,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,764.00
,,,,,,Invoice,,07/24/2014,,10395,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,800.40
,,,,,,Invoice,,08/08/2014,,10488,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,836.80
,,,,,,Invoice,,08/22/2014,,10529,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,873.20
,,,,,,Invoice,,09/05/2014,,10680,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,909.60
,,,,,,Invoice,,09/19/2014,,10747,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,946.00
,,,,,,Invoice,,10/08/2014,,10911,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.40,,72.80,,"1,018.80"
,,,,,,Invoice,,10/17/2014,,10951,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,055.20"
,,,,,,Invoice,,10/31/2014,,11101,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,091.60"
,,,,,,Invoice,,11/07/2014,,11129,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,128.00"
,,,,,,Invoice,,11/21/2014,,11190,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,164.40"
,,,,,,Invoice,,12/03/2014,,11321,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,200.80"
,,,,,,Invoice,,12/12/2014,,11365,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,237.20"
,,,,,,Invoice,,12/31/2014,,11499,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,273.60"
,,,,,,Invoice,,01/23/2015,,11582,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.40,,72.80,,"1,346.40"
,,,,,,Invoice,,02/20/2015,,11764,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,382.80"
,,,,,,Invoice,,03/13/2015,,11916,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,419.20"
,,,,,,Invoice,,03/23/2015,,11942,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,455.60"
,,,,,,Invoice,,04/06/2015,,12072,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,492.00"
,,,,,,Invoice,,04/10/2015,,12091,,Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,528.40"
,,,,,,Invoice,,04/17/2015,,12111,,Betco Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,564.80"
,,,,,,Invoice,,05/13/2015,,12321,,Betco Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,601.20"
,,,,,,Invoice,,05/22/2015,,12437,,Betco Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,2.00,,36.40,,72.80,,"1,674.00"
,,,,,,Invoice,,06/12/2015,,12547,,Betco Better Then Bleach Mildew Remover 12/Qts,,GOLD'S Gym E Northport,,BD Sales Income,,1.00,,36.40,,36.40,,"1,710.40"
